episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/mean_td_error,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/cur_lr
81202.0,76740.0,78934.66666666667,300.0,3,0,1000,32,1000,False,3,1,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-36-51,1652704611,10.7895348072052,10.7895348072052,14109,dt-oran-nr-ric,132.72.81.250,10.7895348072052,32,1,2.1482925415039062,"[76740.0, 78862.0, 81202.0]","[300, 300, 300]",0.29097546587933554,2.2103407761671923,0.07487081743025041,7.875651865453274,0.0,0.187,171196.082,56.695,564.424,1000,1000,32,32,32,1000,1,24.362499999999997,11.8125,"[-302.03735   -316.3407    -334.03836   -303.9998    -340.22012
  -56.218086  -135.99892   -278.41275   -198.33444   -260.17145
 -222.14314   -308.035     -176.3338    -287.9998    -316.41205
 -302.1424    -306.33716   -329.9969    -258.41333   -298.14108
 -290.21683   -290.2181    -288.33453   -330.33215   -216.2157
 -334.41122   -314.33594   -105.99975   -358.2198      -2.1765907
 -295.99826   -308.3322   ]",-264.57867431640625,32.0,0.0,4.6420884,-0.03934118151664734,-0.24921518564224243,0.16789372265338898,0.6
85116.0,76740.0,80592.66666666667,300.0,3,0,2000,32,2000,False,6,2,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-37-13,1652704633,22.15822434425354,32.94775915145874,14109,dt-oran-nr-ric,132.72.81.250,32.94775915145874,64,2,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0]","[300, 300, 300, 300, 300, 300]",0.2908167846461144,2.245529907268096,0.0751439699961607,8.070439837318377,0.0,0.22,145477.702,35.038,913.287,2000,2000,8032,32,8032,2000,3,23.270967741935483,11.99677419354839,"[-59190744. -59190780. -59190780. -59190768. -59190832. -59190756.
 -59190732. -59190680. -59190780. -59190780. -59190776. -59190804.
 -59190832. -59190836. -59190768. -59190756. -59190832. -59190732.
 -59190748. -59190788. -59190756. -59190756. -59190660. -59190768.
 -59190780. -59190768. -59190748. -59190744. -59190776. -59190524.
 -59190776. -59190776.]",-59190764.0,32.0,0.0,0.0139524825,18.359561920166016,-13.31595516204834,35.986148834228516,0.6
88956.0,76740.0,82690.6,300.0,4,0,3000,32,3000,False,10,3,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-37-35,1652704655,21.43983793258667,54.38759708404541,14109,dt-oran-nr-ric,132.72.81.250,54.38759708404541,96,3,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.2882947186076986,2.254916857414416,0.07476077982822102,8.198175148375844,0.0,0.178,179771.937,26.97,1186.511,3000,3000,16032,32,16032,3000,5,24.312903225806448,11.903225806451607,"[-270.3922  -291.49396 -307.89783 -312.85706 -378.518   -390.78558
 -315.49396 -325.18988 -382.78558 -415.5942  -254.45514 -331.89783
 -400.518   -222.85706 -270.85706 -285.49396 -381.5942  -291.18988
 -295.5942  -354.518   -430.78558 -397.18988 -408.518   -407.5942
 -389.18988 -262.45514 -428.518   -408.518   -371.5942  -288.85706
 -242.45514 -249.18987]",-336.4015197753906,32.0,0.0,0.09910166,160.99795532226562,96.48888397216797,260.8193359375,0.6
89568.0,76740.0,83802.46153846153,300.0,3,0,4000,32,4000,False,13,4,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-37-57,1652704677,22.46364140510559,76.851238489151,14109,dt-oran-nr-ric,132.72.81.250,76.851238489151,128,4,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0, 86274.0, 86684.0, 89568.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.28729157616371487,2.260463558386351,0.07462420946534087,8.220534561306728,0.0,0.239,133696.312,36.693,872.091,4000,4000,24032,32,24032,4000,7,23.646875,12.009374999999999,"[-374.13223 -428.2127  -474.2766  -480.87305 -438.2766  -512.54395
 -265.97003 -318.87305 -303.97003 -370.13223 -352.16968 -487.83798
 -159.97006 -376.13223 -466.13223 -452.54395 -472.2766  -264.24774
 -462.54395 -287.97003 -487.83798 -350.16968 -372.2127  -364.16968
 -346.16968 -224.24774 -372.16968 -258.24774 -466.54395 -512.54395
 -313.97003 -386.2127 ]",-381.36187744140625,32.0,0.0,0.08841519,270.64056396484375,176.41445922851562,430.00469970703125,0.6
89568.0,76740.0,84025.875,300.0,3,0,5000,32,5000,False,16,5,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-38-17,1652704697,20.29292392730713,97.14416241645813,14109,dt-oran-nr-ric,132.72.81.250,97.14416241645813,160,5,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0, 86274.0, 86684.0, 89568.0, 84416.0, 88170.0, 82396.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.28588915053041336,2.262346362604887,0.07447280135062759,8.195487431115613,0.0,0.235,135957.99,35.686,896.719,5000,5000,32032,32,32032,5000,9,22.306896551724137,12.168965517241377,"[-403.47336 -362.91312 -485.47336 -520.9131  -534.9131  -216.53137
 -454.45508 -516.72003 -470.91312 -486.72003 -504.45508 -568.1886
 -294.91312 -576.82544  -70.53137 -498.72003 -536.82544 -258.53137
  -82.53137 -445.47336 -349.47336 -448.45508 -514.82544 -476.91312
 -447.47336 -471.47336 -592.1886  -385.83167 -206.53137 -498.45508
 -588.82544 -426.91312]",-428.0431213378906,32.0,0.0,0.07992823,379.102783203125,254.70730590820312,632.3645629882812,0.6
89568.0,76740.0,84443.1,300.0,4,0,6000,32,6000,False,20,6,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-38-35,1652704715,17.515552759170532,114.65971517562866,14109,dt-oran-nr-ric,132.72.81.250,114.65971517562866,192,6,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0, 86274.0, 86684.0, 89568.0, 84416.0, 88170.0, 82396.0, 85042.0, 87486.0, 86098.0, 85822.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.283190581561065,2.2526731923906294,0.07401565608795362,8.107312170236932,0.0,0.238,134378.983,35.849,892.624,6000,6000,40032,32,40032,6000,11,22.676000000000002,12.331999999999999,"[-610.0978   -638.09784  -527.7775   -477.04443  -529.0751   -597.6832
 -601.6832   -686.3361   -610.39075  -349.04437  -545.3734   -579.0751
 -698.3361   -630.09784  -343.68326  -513.7775   -227.85645  -465.04437
 -195.85645  -493.04443  -616.09784  -686.3361   -507.77753  -618.09784
 -121.856384 -549.7776   -646.09784  -630.39075  -601.7776   -713.37354
 -419.04437  -656.33606 ]",-533.9480590820312,32.0,0.0,0.09984508,477.0299072265625,338.57940673828125,859.05908203125,0.6
91740.0,76740.0,84836.78260869565,300.0,3,0,7000,32,7000,False,23,7,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-38-53,1652704733,18.323455333709717,132.98317050933838,14109,dt-oran-nr-ric,132.72.81.250,132.98317050933838,224,7,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0, 86274.0, 86684.0, 89568.0, 84416.0, 88170.0, 82396.0, 85042.0, 87486.0, 86098.0, 85822.0, 91740.0, 89140.0, 81504.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.28138011250067124,2.246017530529538,0.07372164987617645,8.02565770950407,0.0,0.222,143871.506,32.982,970.231,7000,7000,48032,32,48032,7000,13,22.657692307692308,12.461538461538462,"[-623.5832  -625.4479  -801.5832  -788.4997  -214.57959 -731.0925
 -678.3256  -186.57959 -827.5832  -629.7504  -862.80927 -779.0925
 -200.57959 -779.4479  -563.4479  -777.4479  -761.0925  -373.69147
 -659.69147 -222.57959 -218.57959 -753.7504  -190.57959 -683.5832
 -674.3256  -778.4997  -841.5832  -733.0925  -858.80927 -749.7504
 -228.57959 -705.0925 ]",-609.4727783203125,32.0,0.0,0.08283605,641.6280517578125,420.60406494140625,1084.833740234375,0.6
91740.0,76740.0,84575.53846153847,300.0,3,0,8000,32,8000,False,26,8,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-39-11,1652704751,17.750333547592163,150.73350405693054,14109,dt-oran-nr-ric,132.72.81.250,150.73350405693054,256,8,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0, 86274.0, 86684.0, 89568.0, 84416.0, 88170.0, 82396.0, 85042.0, 87486.0, 86098.0, 85822.0, 91740.0, 89140.0, 81504.0, 84054.0, 81640.0, 82024.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.279485698597408,2.2376040180654786,0.0733958733890683,7.9276190012076695,0.0,0.286,111885.402,35.609,898.641,8000,8000,56032,32,56032,8000,15,22.372,12.623999999999999,"[ -992.0016   -214.82117 -1022.0016   -198.82117  -798.4633   -915.9439
  -989.9439   -839.0412   -911.7925   -930.9387   -605.0412  -1006.0016
  -224.82117  -774.978     -74.82117  -744.4633   -899.7925   -907.7925
 -1004.0016   -886.978    -915.7925   -911.7925   -984.0016   -901.0412
  -670.4633   -933.7925   -226.82117  -717.95514  -907.9439   -867.0412
  -863.0412   -852.978  ]",-771.7225952148438,32.0,0.0,0.07019733,725.0172729492188,504.61328125,1333.793701171875,0.6
91740.0,67848.0,83414.33333333333,300.0,4,0,9000,32,9000,False,30,9,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-39-29,1652704769,17.955509424209595,168.68901348114014,14109,dt-oran-nr-ric,132.72.81.250,168.68901348114014,288,9,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0, 86274.0, 86684.0, 89568.0, 84416.0, 88170.0, 82396.0, 85042.0, 87486.0, 86098.0, 85822.0, 91740.0, 89140.0, 81504.0, 84054.0, 81640.0, 82024.0, 79464.0, 78612.0, 77542.0, 67848.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.27755196402120863,2.230821524533587,0.07314930429859319,7.786831848852378,0.0,0.241,132849.379,36.995,864.987,9000,9000,64032,32,64032,9000,17,22.51153846153846,12.75,"[-1045.1514  -1043.9827  -1023.9827   -896.9225  -1089.1411   -215.38281
 -1033.9827   -843.15137 -1029.9827   -211.38281  -131.38281  -211.38281
 -1095.1411  -1031.9827   -819.9827   -868.9225   -171.38281  -999.9827
 -1041.937    -978.33075 -1127.1411   -870.9225  -1190.7251   -987.937
  -866.9225   -991.9827    367.53406 -1010.71594  -736.9225   -169.38281
 -1071.1514  -1006.71594]",-795.2023315429688,32.0,0.0,0.06587072,900.5352172851562,592.7459106445312,1582.0882568359375,0.6
91740.0,47806.0,80737.09090909091,300.0,3,0,10000,32,10000,False,33,10,d0374_00000,7c64f8455f27473995e70a25e5aeae69,2022-05-16_12-39-45,1652704785,15.63987398147583,184.32888746261597,14109,dt-oran-nr-ric,132.72.81.250,184.32888746261597,320,10,2.1482925415039062,"[76740.0, 78862.0, 81202.0, 81702.0, 85116.0, 79934.0, 85136.0, 88956.0, 83924.0, 85334.0, 86274.0, 86684.0, 89568.0, 84416.0, 88170.0, 82396.0, 85042.0, 87486.0, 86098.0, 85822.0, 91740.0, 89140.0, 81504.0, 84054.0, 81640.0, 82024.0, 79464.0, 78612.0, 77542.0, 67848.0, 61838.0, 52250.0, 47806.0]","[300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300]",0.27626322748827714,2.2270122752812376,0.07301791410718292,7.663018409079172,0.0,0.233,137054.762,36.908,867.02,10000,10000,72032,32,72032,10000,19,22.96818181818182,12.881818181818181,"[-1109.8027   -1091.321    -1028.3033   -1217.4302    -193.02625
 -1149.321    -1145.8026    -931.4301   -1121.321     -973.80273
 -1159.2129   -1079.8027   -1028.3033    -221.02612   -121.026245
 -1141.321    -1177.2129   -1165.321    -1116.9167   -1342.4463
  -109.026245 -1220.9167   -1187.4302   -1126.4463   -1088.3032
 -1127.8027   -1111.8027    -177.02625  -1090.9167     -51.026245
 -1162.4227   -1302.4463  ]",-945.9285888671875,32.0,0.0,0.10316728,1029.2125244140625,687.8824462890625,1829.302490234375,0.6
